id,category,english,amharic,amharicTranslit,afaanOromo,oromoPronunciation,context,exampleEn,difficulty,tags,reviewStatus
ethio-0301,Hotel & Travel,booking,ቦታ ማስያዝ,bota masiyaz,qabachuu,qabachuu,"booking rooms, tours, or services","Use 'booking' in booking rooms, tours, or services.",beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0302,Hotel & Travel,suitcase,ሻንጣ,shanta,saanduqa imalaa,saanduqa imalaa,travel luggage and hotel check-in,Use 'suitcase' in travel luggage and hotel check-in.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0303,Hotel & Travel,visa,ቪዛ,viza,viizaa,viizaa,immigration and travel documents,Use 'visa' in immigration and travel documents.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0304,Hotel & Travel,boarding pass,የመሳፈሪያ ፈቃድ,ye-mesaferiya fekad,waraqaa seensaa xiyyaaraa,waraqaa seensaa xiyyaaraa,airport and flight check-in,Use 'boarding pass' in airport and flight check-in.,intermediate,hotel-travel|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0305,Hotel & Travel,gate,መግቢያ በር,megbiya ber,karra,karra,"airport gates, entrances, event doors","Use 'gate' in airport gates, entrances, event doors.",beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0306,Hotel & Travel,reception,መቀበያ,mekebeya,simannaa,simannaa,hotel front desk and office reception,Use 'reception' in hotel front desk and office reception.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0307,Hotel & Travel,check in,መግባት,megibat,seenuu,seenuu,hotel or airport arrival process,Use 'check in' in hotel or airport arrival process.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0308,Hotel & Travel,check out,መውጣት,mewtat,baʼuu,bauu,hotel departure or payment process,Use 'check out' in hotel departure or payment process.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0309,Hotel & Travel,elevator,ሊፍት,lift,liiftii,liiftii,"hotel, mall, office building navigation","Use 'elevator' in hotel, mall, office building navigation.",beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0310,Hotel & Travel,stairs,ደረጃ,dereja,sadarkaa,sadarkaa,building navigation when lift is not available,Use 'stairs' in building navigation when lift is not available.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0311,Hotel & Travel,floor,ወለል,welel,darbii,darbii,hotel rooms and building levels,Use 'floor' in hotel rooms and building levels.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0312,Hotel & Travel,balcony,ባልኮኒ,balkoni,baalkonii,baalkonii,hotel room features,Use 'balcony' in hotel room features.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0313,Hotel & Travel,pillow,ትራስ,teras,boraatii,boraatii,hotel and bedroom items,Use 'pillow' in hotel and bedroom items.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0314,Hotel & Travel,towel,ፎጣ,fota,fooxaa,fooxaa,hotel bathroom and personal care,Use 'towel' in hotel bathroom and personal care.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0315,Hotel & Travel,shampoo,ሻምፑ,shampu,shaampoo,shaampoo,hotel bathroom and personal care,Use 'shampoo' in hotel bathroom and personal care.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0316,Hotel & Travel,laundry,ልብስ ማጠቢያ,libs matebiya,uffata miicuu,uffata miicuu,hotel service and washing clothes,Use 'laundry' in hotel service and washing clothes.,intermediate,hotel-travel|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0317,Hotel & Travel,air conditioner,አየር ማቀዝቀዣ,ayer makezkaza,qabbaneessituu qilleensaa,qabbaneessituu qilleensaa,hotel room comfort and hot weather,Use 'air conditioner' in hotel room comfort and hot weather.,intermediate,hotel-travel|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0318,Hotel & Travel,fan,አድናቂ ማሽን,adnaqi mashin,faanii,faanii,room cooling and airflow,Use 'fan' in room cooling and airflow.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0319,Hotel & Travel,heater,ማሞቂያ,mamoqiya,hoʼisituu,hoisituu,cold weather and room comfort,Use 'heater' in cold weather and room comfort.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0320,Hotel & Travel,wifi password,የዋይፋይ የይለፍ ቃል,ye-wifi yelef qal,jecha icciitii waayifaayii,jecha icciitii waayifaayii,"hotel, cafe, and office internet access","Use 'wifi password' in hotel, cafe, and office internet access.",beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0321,Hotel & Travel,tour guide,የጉብኝት መመሪያ,ye-gubgnit memeriya,qajeelchaa daawwannaa,qajeelchaa daawwannaa,tourism and cultural visits,Use 'tour guide' in tourism and cultural visits.,intermediate,hotel-travel|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0322,Hotel & Travel,beach,ባህር ዳርቻ,bahir darcha,qarqara galaanaa,qarqara galaanaa,travel and nature situations,Use 'beach' in travel and nature situations.,intermediate,hotel-travel|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0323,Hotel & Travel,bridge,ድልድይ,dildiy,riiqicha,riiqicha,road directions and landmarks,Use 'bridge' in road directions and landmarks.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0324,Hotel & Travel,traffic,ትራፊክ,trafik,tiraafikaa,tiraafikaa,city travel and transport delays,Use 'traffic' in city travel and transport delays.,beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0325,Hotel & Travel,delay,መዘግየት,mezegyet,turuu,turuu,travel delays and schedules,Use 'delay' in travel delays and schedules.,intermediate,hotel-travel|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0326,Hotel & Travel,arrival,መድረስ,medres,gahiinsa,gahiinsa,"airport, bus, and meeting schedules","Use 'arrival' in airport, bus, and meeting schedules.",beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0327,Hotel & Travel,departure,መነሳት,menesat,kaʼumsa,kaumsa,"airport, bus, and travel schedules","Use 'departure' in airport, bus, and travel schedules.",beginner,hotel-travel|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
