id,category,english,amharic,amharicTranslit,afaanOromo,oromoPronunciation,context,exampleEn,difficulty,tags,reviewStatus
ethio-001,Greetings & Courtesy,hello,ሰላም,selam,akkam,akkam,"daily greetings, politeness, first conversations",Use 'hello' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-002,Greetings & Courtesy,welcome,እንኳን ደህና መጡ,enkwan dehna metu,baga nagaan dhuftan,baga nagaan dhuftan,"daily greetings, politeness, first conversations",Use 'welcome' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-003,Greetings & Courtesy,good morning,እንደምን አደሩ,endemin aderu,akkam bultan,akkam bultan,"daily greetings, politeness, first conversations",Use 'good morning' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-004,Greetings & Courtesy,good afternoon,እንደምን ዋሉ,endemin walu,akkam ooltan,akkam ooltan,"daily greetings, politeness, first conversations",Use 'good afternoon' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-005,Greetings & Courtesy,good evening,እንደምን አመሹ,endemin ameshu,akkam ooltan,akkam ooltan,"daily greetings, politeness, first conversations",Use 'good evening' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-006,Greetings & Courtesy,goodbye,ደህና ሁን,dehna hun,nagaatti,nagaatti,"daily greetings, politeness, first conversations",Use 'goodbye' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-007,Greetings & Courtesy,please,እባክዎ,ebakwo,maaloo,maaloo,"daily greetings, politeness, first conversations",Use 'please' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-008,Greetings & Courtesy,thank you,አመሰግናለሁ,ameseginalehu,galatoomi,galatoomi,"daily greetings, politeness, first conversations",Use 'thank you' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-009,Greetings & Courtesy,sorry,ይቅርታ,yikirta,dhiifama,dhiifama,"daily greetings, politeness, first conversations",Use 'sorry' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-010,Greetings & Courtesy,excuse me,ይቅርታ,yikirta,dhiifama,dhiifama,"daily greetings, politeness, first conversations",Use 'excuse me' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
